# tag,kind -- 细分分类（大类/子类），未列出 = 未分类；改规则请改 _dev_tests/_gen_tag_kind.py 重跑
aqua_sky,scene/sky
aqua_socks,clothing/legwear
aqua_sports_bra,clothing/top
aqua_suit,clothing/whole
aqua_sweater,clothing/top
aqua_sweater_vest,clothing/top
aqua_tank_top,clothing/top
aqua_thighhighs,clothing/legwear
aqua_tongue,person/body
aqua_tunic,clothing/top
aqua_umbrella,object/tool
aqua_vest,clothing/top
aqua_wrist_cuffs,person/body
aqua_wristband,clothing/accessory
aquamarine_eyes,person/eyes
aquiline_nose,person/body
arabesque_(pose),expression/pose
arabian_clothes,clothing/other
arabian_clothing,clothing/other
arachne_boy,person/count
arafune_squad's_uniform,clothing/whole
araizumi_rui_(style),style/medium
araki_hirohiko_(style),style/medium
arakumo_gakuen_soccer_uniform,clothing/whole
aramis_high_school_uniform,clothing/whole
aran_legwear,clothing/legwear
aran_sweater,clothing/top
arashiyama_squad's_uniform,clothing/whole
arawi_keiichi_(style),style/medium
arc_phone,object/tool
arcade_cabinet,object/other
arcade_controller,object/toy
arch_bridge,scene/outdoor
archaic_japanese_text,style/quality
arched_back,person/body
arched_bangs,person/hair
arched_crown,clothing/head
arched_foot,person/body
archer_(fate)_(cosplay),style/medium
arcueid_brunestud_(cosplay),style/medium
ardor_blossom_star_(e.g.o),scene/nature
areishia_spirit_academy_uniform,clothing/whole
areola,sex/body
areola_expansion,sex/body
areola_measuring,sex/body
areola_outline,sex/body
areola_piercing,sex/body
areola_slip,sex/body
areola_visible_through_clothing,clothing/other
argentinian_flag,object/tool
argentinian_flag_print,object/tool
argyle_(pattern),scene/background
argyle_background,scene/background
argyle_bikini,clothing/whole
argyle_bow,clothing/head
argyle_bowtie,clothing/accessory
argyle_bra,clothing/top
argyle_cape,clothing/top
argyle_cardigan,clothing/top
argyle_cloak,clothing/top
argyle_clothes,clothing/other
argyle_clothing,clothing/other
argyle_coat,clothing/top
argyle_dress,clothing/whole
argyle_footwear,clothing/footwear
argyle_gloves,clothing/accessory
argyle_hairband,clothing/head
argyle_hat,clothing/head
argyle_jacket,clothing/top
argyle_kimono,clothing/whole
argyle_legwear,clothing/legwear
argyle_necktie,clothing/accessory
argyle_pants,clothing/bottom
argyle_pantyhose,clothing/legwear
argyle_ribbon,clothing/head
argyle_scarf,clothing/accessory
argyle_shirt,clothing/top
argyle_skirt,clothing/bottom
argyle_socks,clothing/legwear
argyle_sweater,clothing/top
